"","CitationName","n"
"1","Mammalia",10
"2","Rec. West. Aust. Mus.",10
"3","Bull. Brit. Mus. (Nat. Hist.) Zool.",6
"4","Occas. Pap. Mus. Texas Tech Univ.",5
"5","Amer. Mus. Novit.",4
"6","Beaufortia",3
"7","Bull. Natl. Sci. Mus. Tokyo, ser. A(Zool.)",3
"8","J. Mammal.",3
"9","Myotis",3
"10","Proc. Biol. Soc. Wash.",3
"11","Rec. Aust. Mus.",3
"12","Senkenbergiana Biol.",3
"13","Actual. Biol.",2
"14","Ann. Carnegie Mus.",2
"15","Aust. Mammal.",2
"16","Bull. Amer. Mus. Nat. Hist.",2
"17","Bull. Brit. Mus. Nat. Hist. (Zool.)",2
"18","Rec. W. Aust. Mus.",2
"19","Senckenberg. Biol.",2
"20","Senkenberg. Biol.",2
"21","Zool. Sci.",2
"22","Acta Chiropterol.",1
"23","Acta Chiropterologica",1
"24","Acta Zool. Acad. Scient. Hungaricae",1
"25","Acta. Chiropt.",1
"26","Aust. J. Zool.",1
"27","Aust. Mammalogy",1
"28","Australian Zool.",1
"29","Bonn. zool. Beitr.",1
"30","Bull. Natl. Sci. Mus. Tokyo, ser. A (Zool.)",1
"31","Bull. Natl. Sci. Mus. Tokyo, Ser. A (Zool.)",1
"32","Caldasia",1
"33","Canadian J. Zool.",1
"34","Ciencia e Cultura",1
"35","Cont. Mammal.: a Memorial Vol. Honoring Dr. J. K. Jones, Mus. Texas Tech Univ.",1
"36","Faune de Madagascar, Chiroptères",1
"37","Fieldiana Zool.",1
"38","Fieldiana, Zool., n.s.",1
"39","In von Helversen, Heller, Mayer, Nemeth, Volleth, and Gombkötö, Naturwissenschaften",1
"40","J. Zool.",1
"41","J. Zool., Lond.",1
"42","Los Angeles Cty. Mus. Contrib. Sci.",1
"43","Mammal Study",1
"44","Mem. Soc. Cien. Nat. La Salle",1
"45","Mem. Soc. Cienc. Nat. La Salle",1
"46","Occ. Pap. Mus. Texas Tech. Univ.",1
"47","Occas. Pap. Bernice P. Bishop Mus.",1
"48","Occas. Pap. Mus. Zool. Univ. Michigan",1
"49","Proc. 4th Int. Bat Res. Conf. Nairobi",1
"50","Proc. 5th Internat. Bat Res. Conf., (D. E. Wilson and A. L. Gardner, eds.), Texas Tech Press.",1
"51","R. Ontario Mus. Life Sci. Occas. Pap.",1
"52","Rec. West, Aust. Mus.",1
"53","Rec. West. Aust. Mus.12",1
"54","Rev. Acad. Colomb. Cienc.",1
"55","Rev. Brasil. Biol.",1
"56","Rev. Suisse Zool.",1
"57","Senk. Biol.",1
"58","Syst. Zool.",1
"59","Trop. Zool.",1
"60","Vict. Nat.",1
"61","Z. Säugtierk.",1
"62","Zool. Meded. Rijksmus. Nat. Hist. Leiden",1
"63","Zoologische Mededelingen",1
